"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mir-1191a-3p",-0.0508496169721262,6.26624699414221,-0.260898398098663,0.798044579184418,0.920481472797323,-7.20039315410382
"mir-676-3p",-0.0916107379374065,11.2265429255529,-1.20379320146566,0.249020605172462,0.651704448509633,-7.21489745086644
"mir-3082-3p",-0.105626732282476,7.63453043427042,-0.80077693275236,0.43690358485844,0.789640031854176,-7.25512833479121
"mir-212-3p",-0.0231064488971287,6.35604173264598,-0.112965384003718,0.911693604131932,0.953901641360262,-7.25587158974529
"mir-872-3p",0.0911330316717436,10.0387641609791,1.13465956195694,0.275945987721593,0.670578421775054,-7.25621408919149
"mir-26a-2-3p",0.0242924217761606,6.37931592203378,0.148261065730022,0.884292846199883,0.942261048972014,-7.25775042373542
"mir-24-1-5p",0.0963315761067083,7.44571081022281,0.740495958730064,0.471477654000089,0.80115751732346,-7.26865072888886
"mir-547-3p",0.0915312809461808,7.29756712632197,0.663355596931914,0.518089917638588,0.819705341070454,-7.29567106889144
"mir-208a-5p",-0.0554969735681468,6.65609137494019,-0.326457452015597,0.749002922493637,0.920481472797323,-7.29632154434359
"mir-3060-3p",0.0520867063377173,6.67657182016073,0.332106003279687,0.744826422702201,0.920481472797323,-7.29972962357862
"mir-17-3p",0.0919804712073748,8.07616862236868,0.835390767085802,0.417802988079342,0.786862294216093,-7.30169934928508
"mir-1843a-3p",-0.0887420039157956,7.06533106331144,-0.563387676846801,0.582258734823497,0.83833972897405,-7.30556378662836
"mir-3098-5p",0.0128072290825205,6.53864430268008,0.0746048287136516,0.941605557345356,0.962908850497966,-7.31387262404311
"mir-16-1-3p",-0.0731127827873435,7.18062120613004,-0.572464408909179,0.576265063778264,0.83833972897405,-7.32868694433446
"mir-145b-5p",0.063604600265001,6.80442128842795,0.346736074844027,0.734048079105041,0.920481472797323,-7.33389418001069
"mir-145a-3p",0.114558915596499,13.3875687513721,1.24163608495257,0.235171001011732,0.636311403489898,-7.33639714183455
"mir-677-5p",0.102299543251459,7.22628095313299,0.558339816674299,0.585605971525579,0.83833972897405,-7.34655782161902
"mir-501-3p",-0.0986523326778146,7.51515304255575,-0.627823588786075,0.54042520274114,0.819705341070454,-7.36123708288893
"mir-6944-3p",0.117204565201817,7.289481793867,0.546471419126606,0.593514852371009,0.83833972897405,-7.36729187298662
"mir-1964-3p",-0.178036397978941,8.76168142765039,-0.899709775750196,0.383788593832155,0.760844054439184,-7.36888651994439
"mir-1843b-3p",-0.0991789044178741,9.42216670538113,-0.976244069088911,0.34583706960117,0.75153055509485,-7.38110001036591
"mir-3057-5p",-0.150794636970616,8.43398350371177,-0.804051798266157,0.435072783893204,0.789640031854176,-7.39371326618282
"mir-486a-5p",0.113979328779488,11.5813278803526,1.04535528421164,0.313920630602172,0.709460625160908,-7.4037090017671
"mir-350-5p",-0.0598539097995996,7.63179779406311,-0.553335854914754,0.588933881528973,0.83833972897405,-7.4278854973197
"mir-351-5p",-0.10090531724866,13.4432633745572,-1.16135864753835,0.265295616207461,0.651704448509633,-7.43652365708546
